Name:,CADY Sub-Study
Number:,08-01
Full Title:,"“CADY Sub-Study”: Analysis of Biomarker, Cardiotoxicity and Major Adverse Cardiovascular Events data to develop predictive models for cardiotoxicity and MACE in Breast Cancer."
--------------------------------------------------
Principal Investigator:,Prof Ray McDermott
Type:,Industry Sponsored
Sponsor:,Cancer Trials Ireland
Recruitment Started:,Global: N/A Ireland: 10-Jun-2008
--------------------------------------------------
Global Recruitment Target:,N/A
Ireland Recruitment Target:,480
--------------------------------------------------
More Detailed Information:,n/a
Participation Criteria Link:,n/a
Eligibility Criteria:,n/a
