Name:,EXPERT
Number:,19-03
Full Title:,A Randomised Phase III Trial of Adjuvant Radiation Therapy Versus Observation Following Breast Conserving Surgery and Endocrine Therapy in Patients With Molecularly Characterised Luminal A Early Breast Cancer
--------------------------------------------------
Principal Investigator:,Prof Sinead Brennan (St Luke’s Radiation Oncology Network)
Type:,Collaborative
Sponsor:,"Breast Cancer Trials, Australia and New Zealand"
Recruitment Started:,Global: August 2017 Ireland: March 2024
--------------------------------------------------
Global Recruitment Target:,1170
Ireland Recruitment Target:,22
--------------------------------------------------
More Detailed Information:,https://classic.clinicaltrials.gov/ct2/show/NCT02889874
Participation Criteria Link:,https://classic.clinicaltrials.gov/ct2/show/NCT02889874#participation-criteria
Eligibility Criteria:,n/a
