Name:,PRIMROSE CSF
Number:,24-08
Full Title:,A prospective study of the genomic landscape of central nervous system disease secondary to breast cancer utilising cell-free DNA derived from cerebrospinal fluid (CSF).
--------------------------------------------------
Principal Investigator:,Professor Leonie Young
Type:,Collaborative
Sponsor:,University of Liverpool
Recruitment Started:,Global: 2021 Ireland: Oct 2024
--------------------------------------------------
Global Recruitment Target:,87
Ireland Recruitment Target:,30
--------------------------------------------------
More Detailed Information:,https://bctrcguk.wixsite.com/bctrcg/primrose
Participation Criteria Link:,https://bctrcguk.wixsite.com/bctrcg/primrose#participation-criteria
Eligibility Criteria:,n/a
