Name:,Proteomics / Molecular Breast
Number:,09-07
Full Title:,Breast cancer proteomics and molecular heterogeneity.
--------------------------------------------------
Principal Investigator:,Prof Leonie Young (RCSI) and  Prof Bryan Hennessy (Beaumont Hospital)
Type:,In-House
Sponsor:,Cancer Trials Ireland
Recruitment Started:,Global: Not Applicable Ireland: February 2013
--------------------------------------------------
Global Recruitment Target:,Not Applicable
Ireland Recruitment Target:,5000
--------------------------------------------------
More Detailed Information:,https://clinicaltrials.gov/ct2/show/NCT01840293
Participation Criteria Link:,https://clinicaltrials.gov/ct2/show/NCT01840293#participation-criteria
Eligibility Criteria:,Inclusion: n/a || Exclusion: n/a
